"","long","lat","group","order","region","subregion"
"75",-122.492652893066,48.0310516357422,59,14296,"washington","whidbey island"
"76",-122.469734191895,48.0310516357422,59,14297,"washington","whidbey island"
"77",-122.469734191895,48.0826187133789,59,14298,"washington","whidbey island"
"78",-122.44108581543,48.0826187133789,59,14299,"washington","whidbey island"
"79",-122.400978088379,48.0539703369141,59,14300,"washington","whidbey island"
"80",-122.337951660156,48.0138626098633,59,14301,"washington","whidbey island"
"81",-122.309303283691,47.9852142333984,59,14302,"washington","whidbey island"
"82",-122.320762634277,47.9451065063477,59,14303,"washington","whidbey island"
"83",-122.320762634277,47.9279174804688,59,14304,"washington","whidbey island"
"84",-122.349411010742,47.8992729187012,59,14305,"washington","whidbey island"
"85",-122.395240783691,47.9164619445801,59,14306,"washington","whidbey island"
"86",-122.400978088379,47.9565696716309,59,14307,"washington","whidbey island"
"87",-122.41242980957,47.9794883728027,59,14308,"washington","whidbey island"
"88",-122.452545166016,47.9794883728027,59,14309,"washington","whidbey island"
"89",-122.48119354248,47.9622993469238,59,14310,"washington","whidbey island"
"90",-122.504104614258,47.9794883728027,59,14311,"washington","whidbey island"
"91",-122.498374938965,47.9966735839844,59,14312,"washington","whidbey island"
"92",-122.538482666016,48.0138626098633,59,14313,"washington","whidbey island"
"93",-122.561408996582,48.0482406616211,59,14314,"washington","whidbey island"
"94",-122.56713104248,48.1112632751465,59,14315,"washington","whidbey island"
"95",-122.572868347168,48.1513710021973,59,14316,"washington","whidbey island"
"96",-122.630157470703,48.1456451416016,59,14317,"washington","whidbey island"
"97",-122.670265197754,48.1742897033691,59,14318,"washington","whidbey island"
"98",-116.929229736328,45.9970512390137,60,14320,"washington","main"
"99",-117.473533630371,46.0085105895996,60,14321,"washington","main"
"100",-117.616775512695,46.0085105895996,60,14322,"washington","main"
"101",-117.983474731445,45.9970512390137,60,14323,"washington","main"
"102",-117.994934082031,46.0085105895996,60,14324,"washington","main"
"103",-118.957496643066,45.9970512390137,60,14325,"washington","main"
"104",-119.003326416016,45.9913215637207,60,14326,"washington","main"
"105",-119.066360473633,45.9626770019531,60,14327,"washington","main"
"106",-119.175216674805,45.9225692749023,60,14328,"washington","main"
"107",-119.249710083008,45.928295135498,60,14329,"washington","main"
"108",-119.318458557129,45.934024810791,60,14330,"washington","main"
"109",-119.387214660645,45.9168395996094,60,14331,"washington","main"
"110",-119.427322387695,45.9111061096191,60,14332,"washington","main"
"111",-119.496070861816,45.8996505737305,60,14333,"washington","main"
"112",-119.547637939453,45.9168395996094,60,14334,"washington","main"
"113",-119.593482971191,45.9168395996094,60,14335,"washington","main"
"114",-119.650772094727,45.8767318725586,60,14336,"washington","main"
"115",-119.69660949707,45.8538131713867,60,14337,"washington","main"
"116",-119.834121704102,45.8366241455078,60,14338,"washington","main"
"117",-119.868492126465,45.8366241455078,60,14339,"washington","main"
"118",-120.006011962891,45.80224609375,60,14340,"washington","main"
"119",-120.06330871582,45.7907867431641,60,14341,"washington","main"
"120",-120.143516540527,45.7735977172852,60,14342,"washington","main"
"121",-120.212272644043,45.7334899902344,60,14343,"washington","main"
"122",-120.447189331055,45.6876525878906,60,14344,"washington","main"
"123",-120.510215759277,45.7048416137695,60,14345,"washington","main"
"124",-120.556045532227,45.7277603149414,60,14346,"washington","main"
"125",-120.607620239258,45.7392234802246,60,14347,"washington","main"
"126",-120.653450012207,45.7277603149414,60,14348,"washington","main"
"127",-120.905548095703,45.6418151855469,60,14349,"washington","main"
"128",-120.962852478027,45.6418151855469,60,14350,"washington","main"
"129",-121.05451965332,45.6475486755371,60,14351,"washington","main"
"130",-121.129005432129,45.6074409484863,60,14352,"washington","main"
"131",-121.163391113281,45.6017112731934,60,14353,"washington","main"
